year	time1	time2	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	b1	b2	b3	result
201405	10621	10677	0	0	0	0	1	0	0	0	0	0	0	0	11891	14262	16340	11144
201406	10432	10466	0	0	0	0	0	1	0	0	0	0	0	0	11144	11891	14262	10877
201407	10363	10392	0	0	0	0	0	0	1	0	0	0	0	0	10877	11144	11891	10757
201408	10425	10474	0	0	0	0	0	0	0	1	0	0	0	0	10757	10877	11144	11162
201409	11104	11348	0	0	0	0	0	0	0	0	1	0	0	0	11162	10757	10877	12950
201410	13378	14019	0	0	0	0	0	0	0	0	0	1	0	0	12950	11162	10757	16892
201411	18119	19272	0	0	0	0	0	0	0	0	0	0	1	0	16892	12950	11162	26201
201412	22907	24303	0	0	0	0	0	0	0	0	0	0	0	1	26201	16892	12950	33987
201501	22875	23774	1	0	0	0	0	0	0	0	0	0	0	0	33987	26201	16892	25861
201502	11789	11910	0	1	0	0	0	0	0	0	0	0	0	0	25861	33987	26201	13729
201503	12477	12820	0	0	1	0	0	0	0	0	0	0	0	0	13729	25861	33987	15485
201504	14280	14806	0	0	0	1	0	0	0	0	0	0	0	0	15485	13729	25861	18996
201505	15508	16252	0	0	0	0	1	0	0	0	0	0	0	0	18996	15485	13729	22682
201506	16890	17658	0	0	0	0	0	1	0	0	0	0	0	0	22682	18996	15485	23539
201507	18292	19115	0	0	0	0	0	0	1	0	0	0	0	0	23539	22682	18996	24490
201508	19867	20520	0	0	0	0	0	0	0	1	0	0	0	0	24490	23539	22682	24537
201509	19941	20397	0	0	0	0	0	0	0	0	1	0	0	0	24537	24490	23539	22391
201510	16605	16883	0	0	0	0	0	0	0	0	0	1	0	0	22391	24537	24490	19093
201511	15972	16275	0	0	0	0	0	0	0	0	0	0	1	0	19093	22391	24537	18588
201512	16640	16952	0	0	0	0	0	0	0	0	0	0	0	1	18588	19093	22391	19599
201601	15151	15679	1	0	0	0	0	0	0	0	0	0	0	0	19599	18588	19093	19207
201602	15752	16554	0	1	0	0	0	0	0	0	0	0	0	0	19207	19599	18588	20103
201603	18508	19272	0	0	1	0	0	0	0	0	0	0	0	0	20103	19207	19599	24344
201604	19853	21006	0	0	0	1	0	0	0	0	0	0	0	0	24344	20103	19207	28478
201605	21182	22585	0	0	0	0	1	0	0	0	0	0	0	0	28478	24344	20103	32225
201606	32371	24690	0	0	0	0	0	1	0	0	0	0	0	0	32225	28478	24344	34766
201607	25987	27367	0	0	0	0	0	0	1	0	0	0	0	0	34766	32225	28478	35522
201608	28182	29401	0	0	0	0	0	0	0	1	0	0	0	0	35522	34766	32225	35356
201609	28292	29100	0	0	0	0	0	0	0	0	1	0	0	0	35356	35522	34766	32422
201610	22107	22590	0	0	0	0	0	0	0	0	0	1	0	0	32422	35356	35522	26656
201611	22458	23236	0	0	0	0	0	0	0	0	0	0	1	0	26656	32422	35356	27150
201612	23198	24061	0	0	0	0	0	0	0	0	0	0	0	1	27150	26656	32422	28916
201701	21902	23076	1	0	0	0	0	0	0	0	0	0	0	0	28916	27150	26656	28643
201702	24511	25761	0	1	0	0	0	0	0	0	0	0	0	0	28643	28916	27150	31321
201703	26545	28025	0	0	1	0	0	0	0	0	0	0	0	0	31321	28643	28916	34662
201704	27891	29496	0	0	0	1	0	0	0	0	0	0	0	0	34662	31321	28643	37498
201705	30306	32079	0	0	0	0	1	0	0	0	0	0	0	0	37498	34662	31321	39484
201706	31664	32712	0	0	0	0	0	1	0	0	0	0	0	0	39484	37498	34662	35561
201707	15473	15936	0	0	0	0	0	0	1	0	0	0	0	0	35561	39484	37498	22857
201708	16705	17397	0	0	0	0	0	0	0	1	0	0	0	0	22857	35561	39484	25087
201709	18764	19823	0	0	0	0	0	0	0	0	1	0	0	0	25087	22857	35561	28978
201710	19872	21006	0	0	0	0	0	0	0	0	0	1	0	0	28978	25087	22857	30504
201711	20558	21532	0	0	0	0	0	0	0	0	0	0	1	0	30504	28978	25087	29461
201712	20169	21244	0	0	0	0	0	0	0	0	0	0	0	1	29461	30504	28978	27542
201801	19878	20531	1	0	0	0	0	0	0	0	0	0	0	0	27542	29461	30504	26080
201802	19706	20590	0	1	0	0	0	0	0	0	0	0	0	0	26080	27542	29461	25615
201803	20569	21567	0	0	1	0	0	0	0	0	0	0	0	0	25615	26080	27542	26721
201804	21990	22853	0	0	0	1	0	0	0	0	0	0	0	0	26721	25615	26080	27957
201805	22046	23009	0	0	0	0	1	0	0	0	0	0	0	0	27957	26721	25615	28003
201806	21461	22512	0	0	0	0	0	1	0	0	0	0	0	0	28003	27957	26721	26867
201807	21650	22434	0	0	0	0	0	0	1	0	0	0	0	0	26867	28003	27957	26267
201808	21982	22751	0	0	0	0	0	0	0	1	0	0	0	0	26267	26867	28003	25999
201809	22416	23050	0	0	0	0	0	0	0	0	1	0	0	0	25999	26267	26867	25774
201810	21841	22532	0	0	0	0	0	0	0	0	0	1	0	0	25774	25999	26267	24442
201811	17888	18209	0	0	0	0	0	0	0	0	0	0	1	0	24442	25774	25999	21239
201812	17864	18385	0	0	0	0	0	0	0	0	0	0	0	1	21239	24442	25774	21050
201901	17866	18461	1	0	0	0	0	0	0	0	0	0	0	0	21050	21239	24442	21691
